10
0.000000 0.351885 0.330838 0.100343 0.324020 0.385993 0.314769 0.184070 0.365056 0.353577
0.351885 0.000000 0.423988 0.336218 0.208816 0.374202 0.624990 0.442985 0.628674 0.526511
0.330838 0.423988 0.000000 0.230826 0.229550 0.113606 0.335175 0.196192 0.272694 0.119983
0.100343 0.336218 0.230826 0.000000 0.251435 0.288643 0.289546 0.116182 0.309756 0.264805
0.324020 0.208816 0.229550 0.251435 0.000000 0.165422 0.501743 0.318191 0.474555 0.344127
0.385993 0.374202 0.113606 0.288643 0.165422 0.000000 0.446652 0.291851 0.386056 0.229458
0.314769 0.624990 0.335175 0.289546 0.501743 0.446652 0.000000 0.185975 0.110447 0.245773
0.184070 0.442985 0.196192 0.116182 0.318191 0.291851 0.185975 0.000000 0.193576 0.176124
0.365056 0.628674 0.272694 0.309756 0.474555 0.386056 0.110447 0.193576 0.000000 0.161919
0.353577 0.526511 0.119983 0.264805 0.344127 0.229458 0.245773 0.176124 0.161919 0.000000
